ID_Mensaje,ID_Conversacion,Canal,Usuario,Rol,Contenido,Fecha
msg_ca142433,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:38:32.114Z
msg_e350c266,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:38:32.158Z
msg_2d141b2d,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Empresa. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:38:32.167Z
msg_2bef27bf,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:38:32.287Z
msg_2dab6082,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Empresa. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:38:32.292Z
msg_ae864682,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:38:37.205Z
msg_5d5537ce,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:38:37.241Z
msg_04d60a48,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Empresa. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:38:37.253Z
msg_b4eb6a15,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:38:37.368Z
msg_c87d051f,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Empresa. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:38:37.374Z
msg_ae27bc95,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:40:03.904Z
msg_45e747d2,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:40:03.924Z
msg_29a83bc5,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:40:03.934Z
msg_98e1ed60,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:40:04.048Z
msg_e581506c,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:40:04.053Z
msg_f46528b9,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:40:29.908Z
msg_61916105,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:40:29.931Z
msg_9ad76c1a,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:40:29.942Z
msg_463a7c4f,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:40:30.071Z
msg_91823d42,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:40:30.076Z
msg_1c770a22,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:42:40.944Z
msg_af1ef72d,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:42:40.967Z
msg_2bbadd7e,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:42:40.978Z
msg_a770a80c,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:42:41.080Z
msg_53685f33,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:42:41.085Z
msg_14b3e5b3,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:45:21.552Z
